,price,year,transmission,mileage,fuelType,tax,mpg,engineSize,model
8438,9700,2,1,12904,1,150,64.2,1.1,1
8443,11000,2,1,29954,1,150,62.8,1,1
8444,12199,2,1,8259,1,145,65.7,1,1
8445,12679,2,1,3590,1,145,65.7,1,1
8448,11299,3,1,22224,1,145,62.8,1,1
8454,7600,3,1,14630,1,145,54.3,1.2,1
8459,9995,2,1,17448,1,145,55.4,1.1,1
8461,10995,2,1,11990,1,145,58.9,1,1
8465,11699,2,1,6166,1,145,65.7,1,1
8468,10999,2,1,14245,1,145,65.7,1,1
8469,13084,2,1,5681,1,145,65.7,1,1
8471,14999,1,1,3575,1,145,60.1,1,1
8474,13499,2,1,5635,1,145,58.9,1,1
8476,11995,1,1,11882,1,145,58.9,1,1
8478,16795,1,1,877,1,145,55.4,1,1
8479,11795,2,1,13645,1,145,62.8,1,1
8483,9495,3,1,10386,1,145,65.7,1,1
8485,10620,2,1,13240,1,145,65.7,1,1
8493,11000,2,1,32675,1,145,56.5,1,1
8494,11160,2,1,20372,1,145,56.5,1,1
8495,10595,2,1,20106,1,145,65.7,1,1
8506,14480,1,1,11903,1,145,58.9,1,1
8507,14310,1,1,13500,1,145,58.9,1,1
8510,11250,2,1,22175,1,145,56.5,1,1
8511,5810,6,1,59858,1,30,54.3,1.2,1
8512,8680,3,1,41491,1,145,65.7,1,1
8514,16610,1,1,7128,1,145,55.4,1,1
8520,11840,1,1,7259,1,145,58.9,1,1
8527,8800,3,1,20226,1,145,65.7,1,1
8528,7510,3,1,21103,1,125,54.3,1.2,1
8529,12390,1,1,4000,1,145,58.9,1,1
8530,11450,2,1,14377,1,145,56.5,1,1
8537,10230,3,1,28158,1,20,62.8,1,1
8538,14995,1,1,15,1,145,58.9,1,1
8539,14995,1,1,15,1,145,55.4,1,1
8540,13995,2,1,6961,1,145,65.7,1,1
8541,14995,1,1,15,1,145,58.9,1,1
8542,15995,1,1,15,1,145,58.9,1,1
8543,14995,1,1,15,1,145,58.9,1,1
8552,16990,1,0,3765,1,145,48.7,1,1
8561,7997,4,1,21000,1,125,54.3,1.2,1
8563,10494,5,1,24025,1,145,47.9,1.6,1
8568,10020,3,1,15133,1,20,62.8,1,1
8570,9230,3,1,4218,1,125,54.3,1.2,1
8578,8800,2,1,21022,1,150,64.2,1.1,1
8582,14920,2,1,5373,1,145,58.9,1,1
8583,10370,2,1,21572,1,145,56.5,1,1
8586,10460,2,1,26368,1,145,65.7,1,1
8591,7777,5,1,7939,1,30,54.3,1.2,1
8592,9881,6,1,17610,1,145,47.9,1.6,1
8593,10333,4,1,15800,1,20,62.8,1,1
8594,7969,3,1,4750,1,125,54.3,1.2,1
8595,11494,3,1,19745,1,145,47.9,1.6,1
8596,9839,4,1,11717,1,20,62.8,1,1
8597,9292,4,1,19350,1,20,62.8,1,1
8598,8990,3,1,67336,1,150,47.9,1.6,1
8601,10390,2,1,5402,1,150,64.2,1.1,1
8606,9950,4,1,16756,1,20,62.8,1,1
8616,10510,3,1,11961,1,20,62.8,1,1
8617,7020,6,1,16463,1,30,54.3,1.2,1
8619,10790,2,1,26357,1,145,65.7,1,1
8625,8500,2,1,38779,1,145,64.2,1.1,1
8627,15290,1,1,7144,1,150,58.9,1,1
8628,14290,2,1,13263,1,150,65.7,1,1
8630,11200,2,1,11997,1,145,65.7,1,1
8631,9790,2,1,13170,1,150,65.7,1,1
8635,10790,2,1,11924,1,150,65.7,1,1
8636,14990,2,1,8895,1,150,65.7,1,1
8637,5790,5,1,47281,1,125,54.3,1.2,1
8642,8990,2,1,9616,1,145,64.2,1.1,1
8643,9700,2,1,8335,1,145,65.7,1,1
8647,10990,2,1,24674,1,145,65.7,1,1
8655,9790,2,1,9575,1,150,64.2,1.1,1
8656,6490,6,1,29607,1,30,54.3,1.2,1
8658,9690,2,1,10567,1,145,64.2,1.1,1
8660,11500,2,1,5505,1,145,65.7,1,1
8662,10901,3,1,12890,1,145,65.7,1,1
8663,8490,2,1,24792,1,150,64.2,1.1,1
8670,9500,3,1,24013,1,150,65.7,1,1
8673,9990,2,1,10691,1,150,64.2,1.1,1
8675,11690,1,1,13,1,150,58.9,1,1
8677,9700,2,1,8769,1,145,64.2,1.1,1
8678,12000,2,1,7760,1,145,65.7,1,1
8679,11290,2,1,13585,1,145,65.7,1,1
8681,11690,2,1,12127,1,145,65.7,1,1
8686,11690,2,1,8156,1,145,65.7,1,1
8691,15500,1,1,7504,1,145,61.4,1,1
8692,11500,2,1,31520,1,145,65.7,1,1
8694,12000,3,1,18605,1,145,65.7,1,1
8696,10500,2,1,25367,1,145,58.9,1,1
8698,10000,2,1,13691,1,145,65.7,1,1
8699,11500,2,1,2729,1,145,58.9,1,1
8700,8400,4,1,28000,1,125,54.3,1.2,1
8701,10800,2,1,15356,1,145,65.7,1,1
8702,10500,2,1,8363,1,145,58.9,1,1
8703,10000,2,1,15682,1,145,65.7,1,1
8707,11500,2,1,13820,1,145,65.7,1,1
8709,10500,2,1,6042,1,145,64.2,1.1,1
8713,7500,5,1,23658,1,125,54.3,1.2,1
8714,10499,2,1,11143,1,145,65.7,1,1
8715,11695,2,1,12874,1,150,65.7,1,1
8718,6700,5,1,52353,1,30,54.3,1.2,1
8723,10800,2,1,19153,1,145,65.7,1,1
8724,10200,3,1,23403,1,145,65.7,1,1
8726,8990,2,1,15141,1,150,64.2,1.1,1
8728,9500,3,1,18928,1,145,64.2,1.1,1
8735,9200,3,1,45500,0,150,85.6,1.5,1
8736,6800,5,1,19784,1,125,54.3,1.2,1
8737,11175,3,1,6745,1,145,65.7,1,1
8744,10795,3,1,13000,1,145,65.7,1,1
8749,13100,2,1,8419,1,145,62.8,1,1
8750,10800,2,1,5110,1,145,64.2,1.1,1
8751,12700,2,1,14380,1,145,65.7,1,1
8752,11600,2,1,12836,1,145,65.7,1,1
8756,10600,2,1,33080,1,145,65.7,1,1
8759,18000,1,1,1793,1,145,55.4,1,1
8761,16000,1,1,3557,1,145,55.4,1,1
8771,14000,1,1,3889,1,145,56.5,1,1
8772,15000,1,1,9988,1,145,58.9,1,1
8786,10308,2,1,31997,1,145,65.7,1,1
8796,12499,3,1,4277,1,145,62.8,1,1
8798,14000,1,1,1384,1,145,48.7,1.1,1
8799,14000,1,1,1559,1,145,48.7,1.1,1
8800,14000,1,1,886,1,145,48.7,1.1,1
8809,14000,1,1,4336,1,145,58.9,1,1
8813,10000,3,1,28969,1,145,65.7,1,1
8817,15000,1,1,1035,1,145,58.9,1,1
8818,10700,2,1,3475,1,145,64.2,1.1,1
8821,14000,1,1,1459,1,145,48.7,1.1,1
8822,8070,5,1,13324,1,30,54.3,1.2,1
8823,9710,4,1,21314,1,20,62.8,1,1
8833,12750,2,1,7026,1,145,65.7,1,1
8834,12600,2,1,9674,1,145,65.7,1,1
8835,10500,2,1,15675,1,145,65.7,1,1
8841,14995,1,1,51,1,145,58.9,1,1
8842,13495,1,1,6000,0,145,58.9,1.5,1
8848,13495,2,1,11395,1,145,65.7,1,1
8849,8995,3,1,34682,1,145,65.7,1,1
8850,8795,3,1,25456,1,145,65.7,1,1
8852,8799,3,1,18378,1,125,54.3,1.2,1
8853,15699,2,1,10000,1,145,62.8,1,1
8854,11000,2,1,7485,1,145,65.7,1,1
8855,10000,4,1,17431,1,20,62.8,1,1
8858,13995,2,1,7380,1,145,55.4,1,1
8860,16495,2,1,6225,1,145,40.3,1.5,1
8863,13495,1,1,700,1,145,58.9,1,1
8865,11500,2,1,11053,1,145,65.7,1,1
8870,11995,3,0,5720,1,145,54.3,1,1
8874,11018,2,1,34938,1,145,65.7,1,1
8877,9000,3,1,18734,1,145,54.3,1.2,1
8878,10300,2,1,9300,1,145,64.2,1.1,1
8879,10600,2,1,21760,1,145,65.7,1,1
8880,9980,4,1,29122,1,150,47.9,1.6,1
8886,6999,5,1,60063,1,20,62.8,1,1
8887,9499,3,1,24526,1,145,65.7,1,1
8888,10290,3,1,4070,1,145,64.2,1.1,1
8891,14995,1,1,12,1,145,55.4,1,1
8895,12995,2,1,5735,1,145,58.9,1,1
8897,11900,2,1,29951,1,145,65.7,1,1
8899,9500,3,1,22234,1,145,65.7,1,1
8900,14600,1,1,11337,1,145,58.9,1,1
8901,10500,2,1,32160,1,145,65.7,1,1
8902,10700,2,1,6533,1,150,55.4,1.1,1
8904,16200,2,1,11654,1,150,40.3,1.5,1
8910,10699,3,1,41197,1,150,47.9,1.6,1
8912,18995,1,1,50,1,150,40.3,1.5,1
8917,6991,3,1,15969,1,125,54.3,1.2,1
8919,7980,4,1,42045,1,20,62.8,1,1
8922,9277,3,1,28294,1,145,65.7,1,1
8929,9600,2,1,11038,1,150,64.2,1.1,1
8933,9700,3,1,20885,1,150,54.3,1.2,1
8935,10500,2,1,13336,1,150,65.7,1,1
8937,11400,2,1,10213,1,145,65.7,1,1
8938,10900,2,1,5541,1,145,64.2,1.1,1
8942,9200,3,1,28330,1,150,65.7,1,1
8945,9700,2,1,10815,1,145,64.2,1.1,1
8948,10700,2,1,9575,1,145,64.2,1.1,1
8952,11000,2,1,5763,1,145,55.4,1.1,1
8953,11300,2,1,33291,1,145,65.7,1,1
8954,10000,2,1,34553,1,145,65.7,1,1
8958,11200,3,1,19168,1,145,65.7,1,1
8960,12500,3,1,26294,1,145,47.9,1.6,1
8961,7000,7,1,35987,1,30,54.3,1.2,1
8962,11750,3,1,7564,1,150,65.7,1,1
8964,9500,3,1,18342,1,150,65.7,1,1
8965,12500,2,1,13000,1,145,65.7,1,1
8966,10500,2,1,21637,1,150,65.7,1,1
8968,11500,2,1,20556,1,150,65.7,1,1
8970,17800,0,1,10,1,145,58.9,1,1
8971,9800,3,1,11365,1,125,54.3,1.2,1
8976,9600,2,1,15400,1,145,64.2,1.1,1
8978,12500,2,1,14881,1,145,65.7,1,1
8979,11200,2,1,17971,1,145,58.9,1,1
8980,11800,2,1,7500,1,145,58.9,1,1
8981,10500,3,1,8965,1,145,64.2,1.1,1
8982,9200,4,1,17833,1,125,54.3,1.2,1
8983,9999,3,1,21687,1,145,65.7,1,1
8991,9700,2,1,6302,1,145,64.2,1.1,1
8997,10000,2,1,18522,1,145,64.2,1.1,1
9010,10600,2,1,32868,1,145,65.7,1,1
9013,11186,2,1,31701,1,145,65.7,1,1
9018,9500,4,1,28530,1,20,62.8,1,1
9019,11250,1,1,17073,1,145,58.9,1,1
9024,13000,2,1,15405,1,150,65.7,1,1
9030,7290,6,1,59989,1,145,47.9,1.6,1
9031,17500,1,1,3341,1,145,60.1,1,1
9040,10500,2,1,8234,1,145,64.2,1.1,1
9041,7200,6,1,37073,1,30,54.3,1.2,1
9042,6800,6,1,43612,1,30,54.3,1.2,1
9043,9500,3,1,13667,1,150,54.3,1.2,1
9050,11299,2,1,22760,1,145,65.7,1,1
9055,12250,2,1,11350,1,145,58.9,1,1
9062,9250,3,1,59578,1,145,62.8,1,1
9081,9000,3,1,21167,1,150,64.2,1.1,1
9084,12500,2,1,4507,1,145,65.7,1,1
9088,7695,4,1,27136,1,125,54.3,1.2,1
9091,10495,4,1,34610,1,145,47.9,1.6,1
9094,14295,2,1,13880,1,145,55.4,1,1
9096,10799,2,1,10800,1,145,65.7,1,1
9097,14499,2,1,6300,1,145,55.4,1,1
9098,15499,1,0,3300,1,145,48.7,1,1
9099,15699,1,1,6000,1,145,58.9,1,1
9100,13999,2,1,13700,1,145,58.9,1,1
9101,15250,2,0,16300,1,145,54.3,1,1
9103,12499,2,1,2650,1,145,61.4,1,1
9107,12495,2,1,17672,1,145,65.7,1,1
9108,14795,2,1,7006,1,145,55.4,1,1
9109,11295,2,1,9708,1,145,65.7,1,1
9114,10295,3,1,25061,1,145,65.7,1,1
9116,11495,2,1,19583,1,145,65.7,1,1
9120,8995,3,1,11345,1,145,65.7,1,1
9121,10795,2,1,13535,1,145,65.7,1,1
9134,17500,1,1,7775,1,150,40.3,1.5,1
9138,13900,1,1,11805,1,150,55.4,1,1
9139,9600,2,1,22167,1,150,65.7,1,1
9141,11500,2,1,11000,1,150,65.7,1,1
9142,12000,1,1,12201,1,150,56.5,1,1
9144,10295,1,1,16457,1,145,55.4,1.1,1
9148,13495,1,1,5338,1,145,58.9,1,1
9149,14995,1,1,9139,1,145,58.9,1,1
9153,12995,3,1,12499,1,145,64.2,1.1,1
9157,15500,0,1,2462,1,150,58.9,1,1
9161,6498,5,1,30774,1,30,54.3,1.2,1
9167,8995,3,1,8761,1,150,54.3,1.2,1
9174,6500,4,1,41193,1,125,54.3,1.2,1
9177,11495,2,1,14850,1,145,65.7,1,1
9178,16995,1,1,1958,1,145,55.4,1,1
9179,8595,3,1,17072,1,145,65.7,1,1
9182,14900,1,1,10971,1,150,55.4,1,1
9184,14500,1,1,10603,1,150,55.4,1,1
9186,9000,3,1,23804,1,145,65.7,1,1
9188,10795,2,1,18086,1,145,65.7,1,1
9194,11495,2,1,10806,1,145,65.7,1,1
9207,7984,5,1,13996,1,125,54.3,1.2,1
9208,9994,4,1,1599,1,20,62.8,1,1
9217,12200,2,1,12202,1,145,65.7,1,1
9220,9500,3,1,10109,1,150,64.2,1.1,1
9222,12700,1,1,8572,0,145,58.9,1.5,1
9224,11000,2,1,20816,0,145,88.3,1.5,1
9228,11200,2,1,18600,1,145,56.5,1,1
9230,10390,2,1,34240,1,145,56.5,1,1
9236,10900,2,1,17637,1,145,64.2,1.1,1
9238,14500,1,1,10790,1,145,58.9,1,1
9240,11500,2,1,32023,1,145,65.7,1,1
9242,17500,0,1,20,1,145,58.9,1,1
9243,10700,2,1,7579,1,145,64.2,1.1,1
9245,11900,2,1,26873,1,145,65.7,1,1
9248,10600,2,1,21300,1,145,56.5,1,1
9253,10600,2,1,27401,1,150,56.5,1,1
9254,6500,6,1,32930,1,30,54.3,1.2,1
9259,12000,2,1,15011,1,150,58.9,1,1
9260,15000,1,1,5323,1,150,58.9,1,1
9270,9990,2,1,40220,1,145,56.5,1,1
9277,11500,2,1,10980,1,145,56.5,1,1
9279,10600,2,1,27380,1,145,56.5,1,1
9280,9700,3,1,23830,1,145,65.7,1,1
9285,10160,2,1,9440,1,145,65.7,1,1
9287,6200,6,1,37960,1,30,54.3,1.2,1
9291,11110,3,1,24480,1,145,47.9,1.6,1
9292,9390,3,1,25710,1,20,62.8,1,1
9296,6950,5,1,20060,1,125,54.3,1.2,1
9299,9700,2,1,20800,1,145,58.9,1,1
9300,9700,2,1,25460,1,145,58.9,1,1
9301,10360,2,1,22620,1,145,65.7,1,1
9302,9990,2,1,26610,1,145,58.9,1,1
9303,10100,2,1,26830,1,145,65.7,1,1
9305,8290,3,1,26030,0,145,78.5,1.5,1
9309,9695,2,1,15500,1,145,65.7,1,1
9314,7300,4,1,15700,1,125,54.3,1.2,1
9320,11500,1,1,16302,0,145,55.4,1.5,1
9327,11500,2,1,13340,1,145,56.5,1,1
9328,10600,2,1,23050,1,145,56.5,1,1
9329,10600,2,1,20830,1,145,56.5,1,1
9330,11200,2,1,16960,1,145,56.5,1,1
9332,10600,2,1,22200,1,145,56.5,1,1
9333,11500,2,1,11680,1,145,56.5,1,1
9334,11500,2,1,13480,1,145,56.5,1,1
9336,8730,3,1,18041,1,145,54.3,1.2,1
9337,7490,4,1,16826,1,125,54.3,1.2,1
9343,15995,1,1,4000,1,145,55.4,1,1
9353,14995,1,1,15,1,150,58.9,1,1
9355,10600,2,1,21090,1,145,56.5,1,1
9356,10695,2,1,10000,1,145,65.7,1,1
9358,10995,2,1,9000,1,145,65.7,1,1
9360,11295,2,1,15000,1,145,65.7,1,1
9366,8995,3,1,32000,1,145,65.7,1,1
9370,8990,3,1,5590,1,145,54.3,1.2,1
9371,5975,7,1,22230,1,30,54.3,1.2,1
9373,11500,2,1,13870,1,145,56.5,1,1
9377,9995,3,1,24750,1,145,65.7,1,1
9379,14595,1,1,3902,1,145,58.9,1,1
9380,9495,3,1,6999,1,145,65.7,1,1
9382,5495,5,1,41000,1,30,54.3,1.2,1
9383,7750,3,1,19705,1,125,54.3,1.2,1
9384,12995,1,1,3238,1,145,58.9,1,1
9395,10995,2,1,13659,1,150,65.7,1,1
9398,10795,2,1,27107,1,145,65.7,1,1
9400,6895,5,1,42433,1,30,54.3,1.2,1
9411,8568,4,1,24490,1,20,62.8,1,1
9412,11500,2,1,12930,1,145,56.5,1,1
9413,11420,2,1,20673,0,145,58.9,1.5,1
9414,9627,2,1,25940,1,145,56.5,1,1
9416,7400,3,1,24000,1,145,54.3,1.2,1
9418,11995,2,1,11981,1,150,65.7,1,1
9422,11795,2,1,8015,1,150,56.5,1,1
9436,9263,3,1,37131,1,150,65.7,1,1
9447,10000,3,1,16097,1,145,65.7,1,1
9448,10650,3,1,18556,1,145,65.7,1,1
9450,15995,1,1,10219,1,145,55.4,1,1
9454,7500,3,1,45162,1,125,54.3,1.2,1
9456,12500,3,1,4798,1,145,65.7,1,1
9459,13589,2,1,4446,1,145,62.8,1,1
9476,12500,1,1,6288,0,145,58.9,1.5,1
9478,10766,1,1,1458,1,150,55.4,1.1,1
9479,12550,1,1,3327,1,150,56.5,1,1
9480,15000,1,1,6090,1,150,60.1,1,1
9484,12500,2,1,9131,1,145,58.9,1,1
9488,12900,2,1,14806,1,145,62.8,1,1
9490,11250,2,1,8500,1,145,65.7,1,1
9491,12450,2,1,17600,1,145,61.4,1,1
9493,7511,4,1,21751,1,125,54.3,1.2,1
9498,14300,1,1,6240,1,145,55.4,1,1
9504,8000,4,1,11521,1,125,54.3,1.2,1
9512,9900,2,1,29626,1,145,65.7,1,1
9514,9500,3,1,14628,1,145,65.7,1,1
9521,9775,2,1,14392,1,145,64.2,1.1,1
9522,10848,3,1,15000,1,145,65.7,1,1
9524,10900,2,1,18180,1,145,65.7,1,1
9525,13700,2,1,16079,1,145,61.4,1,1
9526,10800,2,1,21287,1,145,65.7,1,1
9527,13500,2,1,5159,1,145,62.8,1,1
9532,20500,1,1,3000,1,145,40.3,1.5,1
9539,15200,1,1,6603,1,150,58.9,1,1
9549,11500,2,1,7139,1,145,65.7,1,1
9550,10000,2,1,7071,1,145,60.1,1,1
9551,12000,2,1,8786,0,145,88.3,1.5,1
9552,12000,2,1,9662,0,145,88.3,1.5,1
9553,12000,2,1,14235,0,145,88.3,1.5,1
9557,6127,7,1,26276,1,30,54.3,1.2,1
9560,10500,4,1,10871,1,20,62.8,1,1
9569,12000,2,1,9653,1,145,65.7,1,1
9574,11900,2,1,8725,0,145,88.3,1.5,1
9590,10200,3,1,10343,1,125,54.3,1.2,1
9592,10500,3,1,17065,1,145,65.7,1,1
9594,11200,2,1,10531,1,145,65.7,1,1
9596,12500,2,1,13961,1,145,65.7,1,1
9604,18995,0,1,1012,1,145,58.9,1,1
9605,21995,1,1,6014,1,145,40.3,1.5,1
9611,16500,1,1,918,1,145,58.9,1,1
9614,11000,3,1,10914,1,145,65.7,1,1
9616,8000,3,1,19841,1,145,65.7,1,1
9617,9500,3,1,14752,1,145,65.7,1,1
9624,11500,3,1,13632,0,145,88.3,1.5,1
9627,11500,2,1,27185,1,150,65.7,1,1
9629,15000,1,1,12500,1,145,58.9,1,1
9630,5990,7,1,36690,1,30,54.3,1.2,1
9633,9700,3,1,13880,1,145,65.7,1,1
9638,9500,3,1,13787,1,125,54.3,1.2,1
9647,11200,2,1,9438,1,145,65.7,1,1
9648,10700,2,1,26522,1,145,65.7,1,1
9649,9700,2,1,16716,1,145,64.2,1.1,1
9650,7100,5,1,14318,1,125,54.3,1.2,1
9652,7200,3,1,20845,1,125,54.3,1.2,1
9655,11200,2,1,17140,1,145,56.5,1,1
9656,10990,2,1,12670,1,145,56.5,1,1
9660,13000,2,1,9250,1,150,62.8,1,1
9663,15000,2,1,22104,1,150,65.7,1,1
9664,9670,3,1,17066,1,150,65.7,1,1
9668,10860,2,1,10510,1,150,65.7,1,1
9678,10400,3,1,10556,1,145,65.7,1,1
9679,11000,3,1,6907,1,145,65.7,1,1
9684,13300,3,1,15067,1,150,47.9,1.6,1
9685,10990,3,1,14500,1,20,62.8,1,1
9686,9490,4,0,14000,1,145,47.9,1.6,1
9688,10990,4,1,15989,1,150,47.9,1.6,1
9689,8880,3,1,8660,1,145,64.2,1.1,1
9692,6100,6,1,49620,1,30,54.3,1.2,1
9693,10150,2,1,15223,1,145,65.7,1,1
9694,8000,5,1,24678,1,125,54.3,1.2,1
9695,17000,1,1,796,1,145,58.9,1,1
9701,10500,3,1,28099,1,150,65.7,1,1
9705,14700,1,1,2162,1,150,56.5,1,1
9706,5850,7,1,48622,1,30,54.3,1.2,1
9711,10000,3,1,10633,1,150,65.7,1,1
9712,9850,3,1,22402,1,150,65.7,1,1
9716,11000,3,1,23160,1,145,62.8,1,1
9717,11500,2,1,7225,1,145,58.9,1,1
9719,13500,1,1,14839,1,145,58.9,1,1
9721,11000,2,1,12000,1,145,65.7,1,1
9726,12000,3,1,10854,1,145,62.8,1,1
9732,13250,1,1,14165,1,145,65.7,1,1
9737,10250,3,1,24594,1,145,65.7,1,1
9738,11850,2,1,9948,1,145,65.7,1,1
9742,11000,2,1,10577,1,145,58.9,1,1
9745,9295,3,1,16129,1,145,65.7,1,1
9749,12500,3,1,33830,1,150,47.9,1.6,1
9750,17000,0,1,627,1,145,54.3,1,1
9761,9990,4,1,53000,1,145,47.9,1.6,1
9764,9750,2,1,17766,1,145,65.7,1,1
9765,9500,2,1,10932,1,145,64.2,1.1,1
9766,9600,2,1,22167,1,145,65.7,1,1
9767,11500,2,1,11000,1,145,65.7,1,1
9768,9250,3,1,21299,1,145,65.7,1,1
9769,9700,3,1,13449,1,145,65.7,1,1
9770,10000,2,1,9489,1,145,65.7,1,1
9772,9000,3,1,23804,1,145,65.7,1,1
9775,13900,1,1,11805,1,145,55.4,1,1
9782,11000,2,1,16888,1,145,65.7,1,1
9805,10700,2,1,8015,1,145,55.4,1.1,1
9807,13450,1,1,9223,1,145,58.9,1,1
9812,8495,3,1,23985,1,125,54.3,1.2,1
9814,17995,1,1,2744,1,145,60.1,1,1
9817,9495,3,1,15354,1,145,65.7,1,1
9821,12495,2,1,22980,1,150,58.9,1,1
9822,10995,2,1,3105,1,145,65.7,1,1
9826,9995,2,1,10181,1,150,64.2,1.1,1
9827,11995,2,1,17519,1,150,65.7,1,1
9829,11295,2,1,29923,1,150,62.8,1,1
9834,9350,3,1,22471,1,125,54.3,1.2,1
9849,10500,2,1,27822,1,145,65.7,1,1
9850,9500,4,1,35270,1,20,62.8,1,1
9851,7000,4,1,58500,1,125,54.3,1.2,1
9857,13000,1,1,8307,1,145,58.9,1,1
9858,15000,1,1,7315,1,150,55.4,1,1
9859,10995,2,1,17135,1,145,65.7,1,1
9861,8295,3,1,21783,1,150,54.3,1.2,1
9862,10295,2,1,13800,1,150,65.7,1,1
9863,9495,2,1,15835,1,150,64.2,1.1,1
9868,19995,0,1,1732,1,145,55.4,1,1
9874,12395,2,1,6128,1,145,65.7,1,1
9891,10475,2,1,14100,1,150,65.7,1,1
9893,11975,1,1,6752,1,145,55.4,1.1,1
9896,11475,3,1,20160,1,145,65.7,1,1
9902,10995,3,1,21473,1,145,65.7,1,1
9907,5490,7,1,45740,1,30,54.3,1.2,1
9908,10100,2,1,28750,1,145,65.7,1,1
9909,9860,2,1,31789,1,150,65.7,1,1
9910,11580,2,1,26950,1,145,56.5,1,1
9911,9440,2,1,24456,1,145,65.7,1,1
9916,12995,2,1,26900,0,145,88.3,1.5,1
9918,16495,2,1,7675,1,145,55.4,1,1
9919,13695,2,1,11172,1,145,58.9,1,1
9922,11995,2,1,25257,1,145,65.7,1,1
9925,8295,3,1,21783,1,150,54.3,1.2,1
9929,9495,2,1,15835,1,150,64.2,1.1,1
9930,9995,2,1,4651,1,145,64.2,1.1,1
9931,13995,1,1,24022,0,145,58.9,1.5,1
9932,12995,2,1,13510,0,145,60.1,1.5,1
9933,13195,2,1,10928,1,145,58.9,1,1
9942,5960,6,1,53250,1,30,54.3,1.2,1
9944,11975,3,1,20160,1,150,65.7,1,1
9948,9627,2,1,25940,1,150,56.5,1,1
9950,10000,3,1,11720,1,145,65.7,1,1
9951,12475,1,1,6752,1,145,55.4,1.1,1
9953,13475,2,1,6405,1,145,61.4,1,1
9957,11450,2,1,19280,1,145,56.5,1,1
9958,5990,7,1,26793,1,30,54.3,1.2,1
9965,8995,3,1,24195,1,150,64.2,1.1,1
9967,15695,1,1,5903,1,150,55.4,1,1
9968,9795,3,1,33105,1,150,65.7,1,1
9973,12000,1,1,12201,1,145,56.5,1,1
9974,10900,2,1,25000,1,145,65.7,1,1
9977,12375,2,1,10573,1,150,65.7,1,1
9979,9700,4,1,16501,1,20,62.8,1,1
9980,14500,1,1,4372,1,150,56.5,1,1
9984,12795,2,1,8575,1,145,56.5,1,1
9985,7995,6,1,9873,1,30,54.3,1.2,1
9990,16895,2,1,16895,1,145,40.3,1.5,1
9994,9495,3,1,25533,1,145,65.7,1,1
9995,12995,2,1,16053,1,145,49.6,1,1
10000,9495,3,1,33691,0,145,88.3,1.5,1
10001,9995,2,1,15202,1,145,64.2,1.1,1
10004,7695,6,1,29840,1,30,54.3,1.2,1
10005,11695,2,1,14087,1,145,65.7,1,1
10006,12795,2,1,10419,1,145,65.7,1,1
10012,16495,1,1,13491,1,145,58.9,1,1
10013,12495,1,1,13576,1,145,58.9,1,1
10014,15995,1,1,9867,1,145,58.9,1,1
10019,11295,2,1,3105,1,145,65.7,1,1
10023,10595,2,1,20590,1,150,65.7,1,1
10026,7995,4,1,27267,1,125,54.3,1.2,1
10027,7995,6,1,69000,1,150,47.9,1.6,1
10031,14995,1,1,7166,1,145,56.5,1,1
10035,17500,1,1,7775,1,150,40.3,1.5,1
10042,13200,3,1,7951,1,150,47.9,1.6,1
10044,9495,2,1,10247,1,145,64.2,1.1,1
10045,13795,2,1,4430,1,145,62.8,1,1
10046,11995,2,1,6812,1,145,65.7,1,1
10048,8495,5,1,12734,1,125,54.3,1.2,1
10049,9995,3,1,30324,1,145,65.7,1,1
10055,14195,2,1,8923,1,145,58.9,1,1
10058,14495,1,1,11363,1,145,56.5,1,1
10066,9150,2,1,21512,1,150,65.7,1,1
10076,7995,5,1,17469,1,30,54.3,1.2,1
10083,4795,7,1,75340,1,30,54.3,1.2,1
10084,10995,2,1,2359,1,150,65.7,1,1
10088,9995,3,1,16279,1,150,64.2,1.1,1
10089,11495,2,1,15146,1,150,65.7,1,1
10092,8295,3,1,14200,1,145,54.3,1.2,1
10095,9495,2,1,9281,1,145,55.4,1.1,1
10098,8595,3,1,54286,1,145,65.7,1,1
10099,17995,1,1,4409,1,145,60.1,1,1
10101,11995,1,1,3239,1,145,60.1,1,1
10102,13495,1,1,9869,1,145,60.1,1,1
10107,10995,2,1,8979,1,150,65.7,1,1
10108,10495,2,1,21092,1,150,58.9,1,1
10111,12495,1,1,5502,1,150,58.9,1,1
10113,6499,4,1,41149,1,125,54.3,1.2,1
10116,16299,1,1,2278,1,150,60.1,1,1
10117,11899,2,1,13950,1,150,65.7,1,1
10118,9699,3,1,10861,1,150,65.7,1,1
10124,7995,3,1,31981,1,150,54.3,1.2,1
10127,10695,3,1,24153,1,150,65.7,1,1
10129,7895,3,1,10300,1,150,54.3,1.2,1
10130,11795,2,1,10872,1,150,65.7,1,1
10139,11399,2,1,8804,1,145,65.7,1,1
10144,11999,2,1,9224,1,145,57.7,1,1
10149,8995,2,1,36000,1,145,64.2,1.1,1
10151,12295,2,1,11542,1,145,65.7,1,1
10152,9795,2,1,22690,1,145,64.2,1.1,1
10153,12495,2,1,13097,1,145,56.5,1,1
10154,13695,2,1,10856,1,145,58.9,1,1
10155,11695,2,1,12487,1,145,65.7,1,1
10158,12599,4,1,12531,1,145,47.9,1.6,1
10159,11999,3,1,27616,1,145,47.9,1.6,1
